cz,Name,Household_Income_at_Age_35_rNA_gF_p25
cz4901,Jackson,
cz4902,Dyersburg,
cz4903,Lexington,
cz5000,Tupelo,
cz5100,Corinth,
cz5201,New Albany,
cz5300,West Memphis,
cz5401,Bowling Green,
cz5402,Glasgow,
cz5700,Tullahoma,
cz5800,Dickson,
cz6301,McMinnville,
cz6302,Cookeville,
cz6402,Crossville,
cz6501,Ellijay,
cz8201,Barnwell,
cz8402,Washington,
cz8501,Fitzgerald,
cz8502,Cordele,
cz8601,Waycross,
cz8602,Brunswick,
cz8702,Statesboro,
cz9001,Vidalia,
cz9002,Milledgeville,
cz9003,Dublin,
cz9200,Griffin,
cz9301,Winder,
cz9302,Toccoa,
cz9500,Talladega,
cz9702,Americus,
cz9800,Auburn,
cz10101,Bainbridge,
cz10102,Thomasville,
cz10200,Albany,
cz10301,Eufaula,
cz10501,Columbus,
cz10502,Starkville,
cz10802,Demopolis,
cz11102,Troy,
cz11201,Bluefield,
cz11202,Welch,
cz11203,Big Stone Gap,
cz11303,Colonial Beach,
cz12502,Washington Court House,
cz12600,Wayne,
cz12702,Maysville,
cz12800,Washington,
cz12902,Mount Sterling,
cz12903,Danville,
cz13102,Madison,
cz13103,Bardstown,
cz13200,Owensboro,
cz13400,Lima,
cz13502,Defiance,
cz14300,Columbus,
cz14600,Bloomington,
cz14801,Olney,
cz14802,Vincennes,
cz15300,Parkersburg,
cz15500,Steubenville,
cz15600,Wheeling,
cz15800,Athens,
cz16100,State College,
cz16200,Altoona,
cz16701,Elkins,
cz16702,Morgantown,
cz16703,Buckhannon,
cz16801,Beckley,
cz16802,Summersville,
cz16902,Spencer,
cz17000,Pikeville,
cz17100,Huntington,
cz17200,Harrisonburg,
cz17501,Cumberland,
cz17502,Winchester,
cz17600,Charlottesville,
cz17800,Oneonta,
cz17900,Union,
cz18202,St. Marys,
cz18500,Amsterdam,
cz18700,Sunbury,
cz18900,Williamsport,
cz19902,Easton,
cz19903,Chincoteague,
cz20301,Berlin,
cz20403,Oak Bluffs,
cz20700,Keene,
cz20902,Pittsfield,
cz21003,Ironwood,
cz21201,Hutchinson,
cz21302,Owatonna,
cz21702,Austin,
cz21801,Mason City,
cz21802,Decorah,
cz22001,Waterloo,
cz22002,Iowa Falls,
cz22100,Iowa City,
cz22300,Ottumwa,
cz23000,Monroe,
cz23200,Dubuque,
cz23301,Charleston,
cz23302,Douglas,
cz23400,Bloomington,
cz23600,Burlington,
cz23700,Galesburg,
cz23802,Clinton,
cz24200,Bourbonnais,
cz24600,Farmington,
cz24702,Mexico,
cz24801,Jacksonville,
cz24802,Springfield,
cz25101,Mountain Home,
cz25104,Heber Springs,
cz25105,Batesville,
cz25200,Henderson,
cz25300,Union City,
cz25402,Murray,
cz25500,Centralia,
cz25602,Harrisburg,
cz25701,Cape Girardeau,
cz25702,Poplar Bluff,
cz25800,Blytheville,
cz26001,Roseau,
cz26004,International Falls,
cz26101,Moberly,
cz26102,Marshall,
cz26103,Brookfield,
cz26104,Trenton,
cz26105,Polk,
cz26106,Centerville,
cz26107,Kirksville,
cz26409,Glendive,
cz26502,Madison,
cz26601,Milbank,
cz26702,Grafton,
cz26703,Thief River Falls,
cz26802,Lisbon,
cz26902,Little Falls,
cz27001,O'Neill,
cz27007,Huron,
cz27102,Marshall,
cz27201,Sioux Center,
cz27202,Worthington,
cz27301,Spencer,
cz27302,Fairmont,
cz27401,Storm Lake,
cz27402,Fort Dodge,
cz27502,Creston,
cz27503,Atlantic,
cz27504,Carroll,
cz27703,Torrington,
cz27802,Columbus,
cz27901,Hastings,
cz27903,Grand Island,
cz28102,Nebraska City,
cz28201,Red Oak,
cz28301,Sterling,
cz28302,Ogallala,
cz28304,Valentine,
cz28305,Broken Bow,
cz28306,North Platte,
cz28503,Trinidad,
cz28603,Phillipsburg,
cz28605,Goodland,
cz28608,Kearney,
cz28609,Lexington,
cz28701,Salida,
cz28704,Laramie,
cz29003,Dodge City,
cz29004,Great Bend,
cz29006,Hays,
cz29101,Concordia,
cz29103,Beloit,
cz29104,Salina,
cz29202,Marysville,
cz29302,Newton,
cz29401,Ottawa,
cz29402,Emporia,
cz29501,Leavenworth,
cz29504,Sedalia,
cz29505,Polk,
cz29506,Bethany,
cz29602,Eldon,
cz30603,Truth or Consequences,
cz30604,Deming,
cz30801,Hobbs,
cz30902,Littlefield,
cz30906,Memphis,
cz30908,Plainview,
cz31002,Ulysses,
cz31004,Liberal,
cz31005,Perryton,
cz31006,Guymon,
cz31007,Dumas,
cz31101,Victoria,
cz31102,La Grange,
cz31103,Gonzales,
cz31202,Burnet,
cz31302,Beeville,
cz31303,Kerrville,
cz31402,Pecos,
cz31403,Fort Stockton,
cz31404,Alpine,
cz31501,Crystal City,
cz31502,Pearsall,
cz31503,Laredo,
cz31800,College Station,
cz32202,Nacogdoches,
cz32302,Brady,
cz32303,Junction,
cz32304,Uvalde,
cz32305,Del Rio,
cz32306,Eagle Pass,
cz32401,Big Spring,
cz32402,Sweetwater,
cz32403,Snyder,
cz32502,Childress,
cz32602,Graham,
cz32604,Vernon,
cz32701,Brownwood,
cz32702,Stephenville,
cz34204,Lewistown,
cz34301,Cody,
cz34305,Miles City,
cz34401,Dillon,
cz34502,Libby,
cz34702,Kapaa,
cz34703,Kahului,
cz34801,Las Vegas,
cz34803,Tucumcari,
cz34804,Clayton,
cz34805,Alamosa,
cz35202,Gunnison,
cz35600,Hilo,
cz35903,Moab,
cz35904,Richfield,
cz36302,Salmon,
cz36401,Steamboat Springs,
cz36403,Soda Springs,
cz36502,Burns,
cz38402,Pullman,
cz39201,La Grande,
cz39205,John Day,
cz20402,Nantucket,
cz21202,Redwood Falls,
cz26305,Rugby,
cz26404,Lemmon,
cz27002,Ord,
cz27902,York,
cz28604,Colby,
cz28607,McCook,
cz29001,Pratt,
cz29102,Superior,
cz32503,Haskell,
cz33603,Frederick,
cz34302,Worland,
cz34602,Rawlins,
cz36503,Lakeview,
cz39301,Friday Harbor,
cz27010,Miller,
cz31003,Scott City,
cz26402,Baker,
cz31304,Mason,
cz26003,West Cook UT,
cz34104,Bristol Bay,
cz29002,Coldwater,
cz30907,Matador,
cz34114,Unalaska,
cz26204,Steele,
cz26403,Bowman,
cz27012,Gettysburg,
cz39204,Condon,
cz37902,Reno,
cz30905,Wellington,
cz26401,Ekalaka,
cz34309,Harlowton,
cz26203,Linton,
cz28602,Norton,
cz28606,Wano,
cz26302,Carrington,
cz28402,Limon,
cz27003,Ainsworth,
cz28703,Granby,
cz34501,Bonners Ferry,
cz26804,Cooperstown,
cz29008,Center,
cz34604,Lusk,
cz34306,Jordan,
cz26202,East Grant UT,
cz3201,Jena,
cz29007,Township 11,
cz28504,Burlington,
cz35803,McCall,
cz28601,Oberlin,
cz26405,Scobey,
cz32603,Seymour,
cz39202,Enterprise,
cz36303,Jackson,
cz26407,Plentywood,
cz35905,Loa,
cz27604,Murdo,
cz28501,Springfield,
cz37603,Portola,
cz28303,Oshkosh,
cz30702,Santa Rosa,
cz30605,Van Horn,
