cz,Name,Household_Income_at_Age_35_rA_gF_p25
cz17501,Cumberland,43013
cz36800,Medford,42903
cz30100,Fort Smith,42893
cz13300,Findlay,42891
cz26701,Bemidji,42888
cz17100,Huntington,42884
cz32202,Nacogdoches,42862
cz5900,Clarksville,42851
cz21400,St. Cloud,42761
cz34115,Fairbanks,42754
cz2900,Hattiesburg,42708
cz38501,Moses Lake,42670
cz20700,Keene,42420
cz13600,South Bend,42396
cz12600,Wayne,42263
cz36501,Klamath Falls,42053
cz33902,Sherman,42045
cz26902,Little Falls,42003
cz7300,Palm Bay,41899
cz22700,Wausau,41723
cz39303,Port Angeles,41713
cz10302,Dothan,41702
cz33300,Tyler,41531
cz15300,Parkersburg,41517
cz5300,West Memphis,41028
cz25300,Union City,41007
cz9400,Gainesville,40938
cz13700,Concord,40913
cz27401,Storm Lake,40753
cz9701,Columbus,40695
cz34102,Anchorage,40694
cz21600,Brainerd,40654
cz23600,Burlington,40519
cz17502,Winchester,40499
cz500,Greensboro,40364
cz5500,Columbia,40259
cz30502,Enid,40056
cz18900,Williamsport,40000
cz31004,Liberal,39973
cz9003,Dublin,39877
cz15400,Zanesville,39674
cz28502,Pueblo,39507
cz23802,Clinton,39480
cz26503,Sioux Falls,39474
cz14600,Bloomington,39329
cz1400,Fayetteville,39112
cz17000,Pikeville,38827
cz29104,Salina,38730
cz14700,Evansville,38577
cz18700,Sunbury,38473
cz12301,Traverse City,38342
cz27202,Worthington,38309
cz13502,Defiance,38120
cz33200,Paris,38065
cz25900,Jonesboro,37481
cz700,Spartanburg,37244
cz6200,Florence,37176
cz1100,Hickory,37133
cz5000,Tupelo,37091
cz33602,Altus,37023
cz3600,Alexandria,36878
cz13900,Center,36875
cz31303,Kerrville,36598
cz19902,Easton,36552
cz23000,Monroe,36550
cz35300,Farmington,36506
cz17800,Oneonta,36290
cz2600,Roanoke Rapids,35953
cz36700,Eureka,35544
cz10102,Thomasville,34351
cz13200,Owensboro,34188
cz12402,Grayling charter,33514
cz4702,Clarksdale,33408
cz34108,Kodiak,33197
cz12903,Danville,32549
cz34111,Ketchikan,32012
cz21201,Hutchinson,31355
cz15500,Steubenville,31279
cz26304,Minot,31052
cz34109,Juneau,30928
cz27201,Sioux Center,30813
cz9001,Vidalia,30805
cz38902,Newport,30027
cz3203,Vicksburg,29811
cz12502,Washington Court House,29219
cz21004,Rhinelander,29162
cz4102,Pine Bluff,28804
cz18201,Olean,28667
cz11402,Marinette,24670
cz35802,Ontario,21420
cz22602,Shawano,20605
cz301,Middlesborough,
cz601,North Wilkesboro,
cz602,Galax,
cz1001,Boone,
cz1201,Franklin,
cz1202,Sylva,
cz1204,Andrews,
cz1301,Bennettsville,
cz1702,Henderson,
cz2800,Laurel,
cz3001,Kosciusko,
cz3002,Yazoo City,
cz3101,McComb,
cz3102,Brookhaven,
cz3202,Natchez,
cz3902,Lake Providence,
cz4001,Magnolia,
cz4004,Many,
cz4101,Crossett,
cz4301,Stuttgart,
cz4401,London,
cz4501,West Liberty,
cz4502,Hazard,
cz4601,Campbellsville,
cz4602,Somerset,
