cz,Name,Household_Income_at_Age_35_rH_gF_p25
cz30903,Amarillo,31692
cz31202,Burnet,31677
cz28101,Lincoln,31676
cz35001,Phoenix,31670
cz19901,Dover,31657
cz38700,Longview,31590
cz1002,Morganton,31585
cz16300,Pittsburgh,31577
cz20100,Portland,31575
cz38401,Lewiston,31546
cz2100,Washington,31532
cz5402,Glasgow,31532
cz9701,Columbus,31532
cz24400,Rockford,31518
cz31001,Garden City,31517
cz1800,Goldsboro,31508
cz25102,West Plains,31505
cz12501,Dayton,31497
cz1702,Henderson,31441
cz22900,La Crosse,31417
cz24100,Milwaukee,31408
cz8401,Aiken,31395
cz30901,Clovis,31394
cz6600,Rome,31390
cz900,Charlotte,31385
cz10301,Eufaula,31381
cz34901,Albuquerque,31345
cz30604,Deming,31296
cz30000,Russellville,31265
cz22400,Sheboygan,31230
cz22601,Green Bay,31226
cz24200,Bourbonnais,31219
cz8503,Valdosta,31196
cz32503,Haskell,31186
cz12901,Lexington-Fayette,31155
cz8100,Columbia,31146
cz15900,Columbus,31144
cz20302,Claremont,31132
cz6502,Cleveland,31112
cz12701,Cincinnati,31098
cz24600,Farmington,31096
cz24500,Rolla,31088
cz14300,Columbus,31083
cz29601,Columbia,31081
cz4200,Little Rock,31066
cz12301,Traverse City,31050
cz20700,Keene,31050
cz30702,Santa Rosa,31015
cz18900,Williamsport,31008
cz14200,Indianapolis,31001
cz28401,Colorado Springs,30979
cz32604,Vernon,30969
cz25702,Poplar Bluff,30968
cz30100,Fort Smith,30959
cz5401,Bowling Green,30953
cz26002,Duluth,30944
cz4901,Jackson,30929
cz2300,Lynchburg,30910
cz1203,Asheville,30876
cz35600,Hilo,30863
cz27302,Fairmont,30841
cz12600,Wayne,30831
cz25900,Jonesboro,30826
cz36901,Crescent City,30781
cz18300,Watertown,30703
cz12402,Grayling charter,30660
cz19800,Wilmington,30648
cz18700,Sunbury,30620
cz34304,Sheridan,30591
cz14600,Bloomington,30584
cz10501,Columbus,30557
cz12001,Big Rapids,30557
cz32502,Childress,30523
cz402,Martinsville,30520
cz4102,Pine Bluff,30517
cz29800,Aurora,30503
cz3101,McComb,30497
cz14000,Muncie,30492
cz34102,Anchorage,30478
cz32202,Nacogdoches,30466
cz14100,Fort Wayne,30449
cz9400,Gainesville,30426
cz34308,Billings,30426
cz28504,Burlington,30425
cz11600,Detroit,30401
cz34402,Bozeman,30401
cz30908,Plainview,30391
cz24801,Jacksonville,30377
cz4301,Stuttgart,30358
cz8601,Waycross,30287
cz9200,Griffin,30280
cz13502,Defiance,30268
cz22800,Eau Claire,30259
cz401,Winston-Salem,30234
cz4800,Greenville,30205
cz19902,Easton,30167
cz12100,Kalamazoo,30156
cz20301,Berlin,30123
cz27102,Marshall,30100
cz3600,Alexandria,30089
cz32801,Waco,30089
cz19700,Philadelphia,30050
cz29302,Newton,30006
cz6301,McMinnville,29999
cz25103,Harrison,29986
cz9001,Vidalia,29984
cz302,Knoxville,29975
cz6200,Florence,29966
cz11500,Jackson,29935
cz26801,Fargo,29922
cz1302,Florence,29920
cz22200,Cedar Rapids,29903
cz30802,Lubbock,29894
cz34902,Socorro,29893
cz12200,Grand Rapids,29877
cz9600,LaGrange,29869
cz5202,Memphis,29833
cz4002,Shreveport,29769
cz21301,Mankato,29766
cz18600,Albany,29729
cz7700,Lake City,29722
cz13101,Louisville,29637
cz19000,Allentown,29618
cz25105,Batesville,29596
cz24900,Edwardsville,29592
cz15100,Lorain,29584
cz34001,Hot Springs,29571
cz16801,Beckley,29559
cz26103,Brookfield,29517
cz18500,Amsterdam,29490
cz10700,Birmingham,29466
cz34803,Tucumcari,29402
cz9800,Auburn,29401
cz15200,Cleveland,29399
cz1100,Hickory,29390
cz2900,Hattiesburg,29361
cz17700,Syracuse,29357
cz29505,Polk,29357
cz4103,El Dorado,29309
cz16000,Mansfield,29287
cz28502,Pueblo,29261
cz8900,Macon,29245
cz19200,Harrisburg,29085
cz2800,Laurel,29080
cz500,Greensboro,29074
cz9301,Winder,29054
cz3003,Jackson,29012
cz1600,Wilson,28993
cz13300,Findlay,28952
cz30603,Truth or Consequences,28943
cz8501,Fitzgerald,28940
cz11900,Saginaw,28883
cz700,Spartanburg,28873
cz10600,Jasper,28865
cz18000,Buffalo,28856
cz5800,Dickson,28786
cz6402,Crossville,28774
cz15000,Canton,28768
cz23700,Galesburg,28760
cz11700,Lansing,28738
cz9302,Toccoa,28719
cz4701,Greenwood,28710
cz29503,St. Joseph,28646
cz11800,Mount Pleasant,28597
cz16500,Erie,28591
cz15500,Steubenville,28584
cz14400,Terre Haute,28536
cz13501,Toledo,28523
cz4902,Dyersburg,28507
cz30200,Muskogee,28494
cz11002,Atmore,28469
cz9500,Talladega,28454
cz26504,Watertown,28378
cz29303,Winfield,28371
cz14802,Vincennes,28325
cz12002,Ludington,28287
cz13200,Owensboro,28275
cz26105,Polk,28261
cz34503,Kalispell,28200
cz5000,Tupelo,28083
cz800,Gastonia,28076
cz19100,Reading,28001
cz6100,Gadsden,27974
cz23301,Charleston,27876
cz25401,Paducah,27799
cz6401,Chattanooga,27746
cz25800,Blytheville,27691
cz14801,Olney,27555
cz20800,Springfield,27509
cz29401,Ottawa,27323
cz100,Johnson City,27139
cz2200,South Boston,27126
cz11101,Montgomery,27085
cz4402,Richmond,27063
cz10102,Thomasville,27039
cz25200,Henderson,27007
cz39303,Port Angeles,26989
cz16400,Youngstown,26977
cz29902,Center,26936
cz34108,Kodiak,26872
cz21201,Hutchinson,26820
cz34401,Dillon,26668
cz18201,Olean,26545
cz8702,Statesboro,26523
cz11303,Colonial Beach,26479
cz601,North Wilkesboro,26415
cz3203,Vicksburg,26392
cz16600,Roanoke,26390
cz10200,Albany,26260
cz9002,Milledgeville,26172
cz16200,Altoona,26159
cz25000,Quincy,25977
cz10801,Tuscaloosa,25906
cz23000,Monroe,25826
cz11102,Troy,25823
cz5500,Columbia,25731
cz10802,Demopolis,25729
cz20003,Presque Isle,25675
cz2600,Roanoke Rapids,25464
cz3202,Natchez,25275
cz17000,Pikeville,25137
cz9003,Dublin,24675
cz15700,Scioto,24406
cz19903,Chincoteague,23969
cz21502,Pine City,23963
cz4702,Clarksdale,23943
cz21004,Rhinelander,23923
cz8201,Barnwell,23916
cz34201,Havre,23831
cz4601,Campbellsville,23756
cz15400,Zanesville,23686
cz11401,Marquette,23669
cz8602,Brunswick,23640
cz27503,Atlantic,23448
cz4602,Somerset,23293
cz200,Morristown,23244
cz18400,Plattsburgh,23230
cz9702,Americus,23198
cz17100,Huntington,22921
cz16901,Charleston,22811
cz5100,Corinth,22787
cz25402,Murray,22417
cz3002,Yazoo City,22408
cz21001,Ashland,21317
cz4401,London,20933
cz8502,Cordele,20834
cz26412,Williston,20791
cz8402,Washington,16487
cz301,Middlesborough,
cz3001,Kosciusko,
cz3102,Brookhaven,
cz3902,Lake Providence,
cz4001,Magnolia,
cz4501,West Liberty,
cz4502,Hazard,
cz11202,Welch,
cz11203,Big Stone Gap,
cz12702,Maysville,
cz16802,Summersville,
cz16902,Spencer,
cz18202,St. Marys,
cz20002,Calais,
cz20403,Oak Bluffs,
cz24702,Mexico,
cz26001,Roseau,
cz26004,International Falls,
cz26106,Centerville,
cz26301,Devils Lake,
cz26409,Glendive,
cz26502,Madison,
cz26601,Milbank,
cz26602,Sisseton,
cz26802,Lisbon,
cz27001,O'Neill,
cz27007,Huron,
cz27008,Parkston,
cz27605,Mission,
cz28304,Valentine,
cz28305,Broken Bow,
cz28603,Phillipsburg,
cz29103,Beloit,
cz29202,Marysville,
cz29506,Bethany,
cz34112,Bethel,
cz34202,Shelby,
cz34204,Lewistown,
cz34305,Miles City,
cz34502,Libby,
cz36302,Salmon,
cz36502,Burns,
cz39205,John Day,
cz20402,Nantucket,
cz26303,Turtle Mountain UT,
cz26305,Rugby,
cz26404,Lemmon,
cz27002,Ord,
cz28604,Colby,
cz29102,Superior,
cz39301,Friday Harbor,
cz26604,Mobridge,
cz27010,Miller,
cz27603,Southwest Jackson UT,
cz26408,Glasgow,
cz27004,Winner,
cz26406,Wolf Point,
cz34107,Dillingham,
cz26603,East Corson UT,
cz27602,Eagle Butte,
cz34307,Colstrip,
cz34105,Kotzebue,
cz27009,Chamberlain,
cz34106,Nome,
cz34101,Sand Point,
cz34103,Valdez,
cz34113,Barrow,
cz26402,Baker,
cz31304,Mason,
cz26003,West Cook UT,
cz34104,Bristol Bay,
cz29002,Coldwater,
cz30907,Matador,
cz34114,Unalaska,
cz26204,Steele,
cz26403,Bowman,
cz27012,Gettysburg,
cz39204,Condon,
cz37902,Reno,
cz26401,Ekalaka,
cz34309,Harlowton,
cz26203,Linton,
cz28602,Norton,
cz28606,Wano,
