cz,Name,Household_Income_at_Age_35_rH_gM_p25
cz8401,Aiken,30870
cz31301,San Antonio,30867
cz38901,Eugene,30856
cz2500,Newport News,30849
cz37200,Fresno,30846
cz9200,Griffin,30837
cz7600,Jacksonville,30818
cz14100,Fort Wayne,30814
cz29601,Columbia,30793
cz6700,Tampa,30788
cz7500,Deltona,30781
cz28503,Trinidad,30762
cz1701,Raleigh,30739
cz9100,Atlanta,30727
cz21202,Redwood Falls,30723
cz11101,Montgomery,30703
cz14700,Evansville,30701
cz2400,Richmond,30698
cz37901,Las Vegas,30698
cz1800,Goldsboro,30668
cz34805,Alamosa,30665
cz13101,Louisville,30658
cz27601,Rapid City,30636
cz7300,Palm Bay,30623
cz17600,Charlottesville,30619
cz38601,Spokane,30604
cz9301,Winder,30600
cz38402,Pullman,30599
cz18400,Plattsburgh,30574
cz15000,Canton,30555
cz30901,Clovis,30539
cz22001,Waterloo,30513
cz37604,Reno,30511
cz4602,Somerset,30501
cz5401,Bowling Green,30501
cz7200,Cape Coral,30488
cz31201,Austin,30468
cz35802,Ontario,30463
cz37603,Portola,30455
cz16000,Mansfield,30428
cz12901,Lexington-Fayette,30419
cz36503,Lakeview,30385
cz12401,Alpena,30384
cz18600,Albany,30375
cz38602,Colville,30369
cz8202,Charleston,30362
cz15700,Scioto,30350
cz3101,McComb,30342
cz7800,Ocala,30241
cz900,Charlotte,30239
cz5600,Nashville,30223
cz8300,Greenville,30223
cz19800,Wilmington,30209
cz34111,Ketchikan,30197
cz11403,Sault Ste. Marie,30171
cz22900,La Crosse,30161
cz25500,Centralia,30143
cz29104,Salina,30109
cz38401,Lewiston,30063
cz29700,Springfield,30056
cz18100,Elmira,30052
cz27402,Fort Dodge,30028
cz10900,Pensacola,30021
cz36700,Eureka,30008
cz24000,Kenosha,30007
cz6600,Rome,29925
cz20901,Bridgeport,29918
cz30802,Lubbock,29917
cz1204,Andrews,29915
cz302,Knoxville,29913
cz35600,Hilo,29904
cz28401,Colorado Springs,29898
cz3700,Lake Charles,29873
cz14200,Indianapolis,29873
cz4200,Little Rock,29860
