cz,Name,Household_Income_at_Age_35_rW_gM_p25
cz13400,Lima,37115
cz35002,Safford,37115
cz25602,Harrisburg,37113
cz28900,Denver,37052
cz38300,Los Angeles,37023
cz18800,Scranton,36985
cz31301,San Antonio,36963
cz21003,Ironwood,36929
cz29303,Winfield,36836
cz32201,Huntsville,36831
cz36503,Lakeview,36810
cz34802,Santa Fe,36800
cz37100,Bakersfield,36787
cz26107,Kirksville,36726
cz35500,Gallup,36724
cz26104,Trenton,36720
cz31201,Austin,36712
cz19300,Poughkeepsie,36696
cz18000,Buffalo,36655
cz39201,La Grande,36593
cz20901,Bridgeport,36571
cz33601,Lawton,36559
cz23500,Decatur,36497
cz34902,Socorro,36489
cz32701,Brownwood,36478
cz32303,Junction,36446
cz30603,Truth or Consequences,36430
cz23600,Burlington,36424
cz18600,Albany,36408
cz23801,Davenport,36393
cz33700,Ardmore,36367
cz34801,Las Vegas,36366
cz24100,Milwaukee,36336
cz18900,Williamsport,36334
cz34309,Harlowton,36304
cz11102,Troy,36281
cz20301,Berlin,36236
cz35401,Flagstaff,36224
cz10502,Starkville,36220
cz19200,Harrisburg,36204
cz35802,Ontario,36167
cz3003,Jackson,36112
cz38401,Lewiston,36100
cz14900,Gary,36097
cz20200,Burlington,36089
cz20800,Springfield,36057
cz10501,Columbus,36039
cz20401,Providence,36004
cz33300,Tyler,35988
cz3300,New Orleans,35953
cz39100,Kennewick,35934
cz38802,The Dalles,35930
cz4800,Greenville,35909
cz20600,Manchester,35886
cz33000,Fort Worth,35878
cz39400,Seattle,35834
cz37603,Portola,35821
cz13700,Concord,35816
cz34306,Jordan,35803
cz29005,Hutchinson,35774
cz3901,Monroe,35765
cz39000,Yakima,35742
cz25000,Quincy,35704
cz16200,Altoona,35698
cz34115,Fairbanks,35692
cz23302,Douglas,35682
cz29204,Topeka,35631
cz32601,Wichita Falls,35567
cz33100,Dallas,35549
cz20302,Claremont,35544
cz18202,St. Marys,35499
cz38601,Spokane,35480
