cz,Name,Household_Income_at_Age_35_rNA_gM_p25
cz21900,Marshalltown,19530
cz1302,Florence,19314
cz15700,Scioto,19290
cz34102,Anchorage,19218
cz27005,Yankton,19194
cz11301,Fredericksburg,19130
cz26002,Duluth,19128
cz28502,Pueblo,19074
cz100,Johnson City,19058
cz200,Morristown,19028
cz16500,Erie,19006
cz29800,Aurora,18958
cz30602,Alamogordo,18924
cz39100,Kennewick,18909
cz10302,Dothan,18831
cz34111,Ketchikan,18757
cz800,Gastonia,18736
cz35500,Gallup,18634
cz10400,Meridian,18610
cz34603,Casper,18569
cz6900,Sarasota,18468
cz15000,Canton,18453
cz302,Knoxville,18404
cz12701,Cincinnati,18356
cz34115,Fairbanks,18282
cz14600,Bloomington,18244
cz34403,Helena,18136
cz20003,Presque Isle,18133
cz1301,Bennettsville,18097
cz34901,Albuquerque,17968
cz26605,Aberdeen,17801
cz38100,Yuma,17730
cz24000,Kenosha,17717
cz32801,Waco,17706
cz38802,The Dalles,17696
cz34303,Riverton,17659
cz34802,Santa Fe,17652
cz34201,Havre,17593
cz1900,Jacksonville,17580
cz21701,Rochester,17524
cz22700,Wausau,17437
cz35001,Phoenix,17399
cz35100,Tucson,17371
cz500,Greensboro,17232
cz25900,Jonesboro,17229
cz26304,Minot,17177
cz12501,Dayton,17140
cz29401,Ottawa,17133
cz34107,Dillingham,17107
cz21301,Mankato,16957
cz26801,Fargo,16944
cz28202,Omaha,16935
cz35002,Safford,16851
cz25702,Poplar Bluff,16731
cz27006,Mitchell,16705
cz21502,Pine City,16678
cz27704,Gordon,16630
cz34109,Juneau,16624
cz39303,Port Angeles,16595
cz21501,Minneapolis,16586
cz35702,Burley,16537
cz27601,Rapid City,16429
cz21102,Amery,16340
cz27602,Eagle Butte,16319
cz34308,Billings,16288
cz26701,Bemidji,16166
cz36301,Pocatello,16145
cz28101,Lincoln,16127
cz27009,Chamberlain,16055
cz1203,Asheville,16042
cz26201,Bismarck,15932
cz5500,Columbia,15923
cz39302,Bellingham,15884
cz35802,Ontario,15882
cz21101,Rice Lake,15749
cz34902,Socorro,15554
cz37601,Elko,15484
cz26503,Sioux Falls,15430
cz21600,Brainerd,15368
cz39000,Yakima,15278
cz26408,Glasgow,15228
cz13800,Wayne,15119
cz35904,Richfield,15048
cz34307,Colstrip,15030
cz26603,East Corson UT,14903
cz34105,Kotzebue,14666
cz27702,Cheyenne,14649
cz26602,Sisseton,14622
cz29302,Newton,14587
cz18400,Plattsburgh,14442
cz13501,Toledo,13778
cz34101,Sand Point,13498
cz34113,Barrow,13214
cz28002,West Point,12501
cz4102,Pine Bluff,12331
cz26504,Watertown,12115
cz35902,Price,12097
cz26301,Devils Lake,11670
cz34112,Bethel,11616
cz34106,Nome,11125
cz27008,Parkston,11037
cz26604,Mobridge,10374
cz14700,Evansville,9971
cz21400,St. Cloud,9237
cz27605,Mission,9155
cz17100,Huntington,6911
cz301,Middlesborough,
cz402,Martinsville,
cz601,North Wilkesboro,
cz602,Galax,
cz1001,Boone,
cz1201,Franklin,
cz1204,Andrews,
cz2100,Washington,
cz2200,South Boston,
cz2800,Laurel,
cz2900,Hattiesburg,
cz3001,Kosciusko,
cz3002,Yazoo City,
cz3101,McComb,
cz3102,Brookhaven,
cz3202,Natchez,
cz3203,Vicksburg,
cz3902,Lake Providence,
cz4001,Magnolia,
cz4003,Ruston,
cz4101,Crossett,
cz4103,El Dorado,
cz4301,Stuttgart,
cz4401,London,
cz4402,Richmond,
cz4501,West Liberty,
cz4502,Hazard,
cz4601,Campbellsville,
cz4602,Somerset,
cz4701,Greenwood,
cz4702,Clarksdale,
cz4800,Greenville,
cz4901,Jackson,
cz4902,Dyersburg,
cz4903,Lexington,
cz5000,Tupelo,
cz5100,Corinth,
cz5201,New Albany,
cz5300,West Memphis,
cz5401,Bowling Green,
cz5402,Glasgow,
cz5700,Tullahoma,
cz6301,McMinnville,
cz6302,Cookeville,
cz6402,Crossville,
cz6501,Ellijay,
cz8201,Barnwell,
cz8402,Washington,
cz8501,Fitzgerald,
cz8502,Cordele,
cz8601,Waycross,
cz8602,Brunswick,
cz8701,Hinesville,
cz8702,Statesboro,
cz9001,Vidalia,
cz9002,Milledgeville,
cz9003,Dublin,
cz9200,Griffin,
cz9301,Winder,
cz9302,Toccoa,
cz9500,Talladega,
cz9702,Americus,
cz9800,Auburn,
cz10101,Bainbridge,
cz10102,Thomasville,
cz10200,Albany,
cz10301,Eufaula,
cz10501,Columbus,
cz10802,Demopolis,
cz11201,Bluefield,
cz11202,Welch,
cz11203,Big Stone Gap,
cz11303,Colonial Beach,
cz12502,Washington Court House,
cz12600,Wayne,
cz12702,Maysville,
cz12800,Washington,
cz12902,Mount Sterling,
cz12903,Danville,
cz13102,Madison,
cz13103,Bardstown,
cz13200,Owensboro,
cz13300,Findlay,
cz13400,Lima,
cz13502,Defiance,
cz14300,Columbus,
cz14801,Olney,
cz14802,Vincennes,
cz15400,Zanesville,
cz15500,Steubenville,
cz15600,Wheeling,
cz15800,Athens,
cz16100,State College,
cz16200,Altoona,
cz16701,Elkins,
cz16702,Morgantown,
cz16703,Buckhannon,
cz16801,Beckley,
cz16802,Summersville,
cz16902,Spencer,
cz17000,Pikeville,
cz17200,Harrisonburg,
cz17300,Staunton,
cz17501,Cumberland,
cz17502,Winchester,
cz17800,Oneonta,
cz17900,Union,
cz18202,St. Marys,
cz18500,Amsterdam,
cz18700,Sunbury,
cz18900,Williamsport,
cz19902,Easton,
cz19903,Chincoteague,
cz20301,Berlin,
cz20403,Oak Bluffs,
cz20700,Keene,
cz20902,Pittsfield,
cz21003,Ironwood,
cz21201,Hutchinson,
cz21302,Owatonna,
cz21702,Austin,
cz21801,Mason City,
cz21802,Decorah,
cz22001,Waterloo,
cz22002,Iowa Falls,
cz22300,Ottumwa,
cz23000,Monroe,
cz23200,Dubuque,
cz23301,Charleston,
cz23302,Douglas,
cz23400,Bloomington,
cz23700,Galesburg,
cz23802,Clinton,
cz24200,Bourbonnais,
cz24600,Farmington,
cz24702,Mexico,
cz24801,Jacksonville,
cz25000,Quincy,
cz25101,Mountain Home,
cz25104,Heber Springs,
cz25105,Batesville,
cz25200,Henderson,
cz25300,Union City,
cz25401,Paducah,
cz25402,Murray,
cz25500,Centralia,
cz25601,Carbondale,
cz25602,Harrisburg,
cz25800,Blytheville,
cz26001,Roseau,
cz26004,International Falls,
cz26101,Moberly,
cz26102,Marshall,
cz26103,Brookfield,
cz26104,Trenton,
cz26105,Polk,
cz26106,Centerville,
cz26107,Kirksville,
cz26409,Glendive,
cz26502,Madison,
cz26601,Milbank,
cz26702,Grafton,
cz26703,Thief River Falls,
cz26802,Lisbon,
cz26803,Jamestown,
cz26902,Little Falls,
cz27001,O'Neill,
cz27007,Huron,
cz27102,Marshall,
cz27201,Sioux Center,
cz27202,Worthington,
cz27301,Spencer,
cz27302,Fairmont,
cz27401,Storm Lake,
cz27402,Fort Dodge,
cz27502,Creston,
cz27503,Atlantic,
cz27504,Carroll,
cz27703,Torrington,
cz27802,Columbus,
cz27901,Hastings,
cz27903,Grand Island,
cz28102,Nebraska City,
cz28201,Red Oak,
cz28301,Sterling,
cz28302,Ogallala,
cz28304,Valentine,
cz28305,Broken Bow,
cz28306,North Platte,
cz28503,Trinidad,
cz28603,Phillipsburg,
cz28605,Goodland,
cz28608,Kearney,
cz28609,Lexington,
cz28701,Salida,
cz28702,Glenwood Springs,
cz28704,Laramie,
cz29003,Dodge City,
cz29004,Great Bend,
cz29006,Hays,
cz29101,Concordia,
cz29103,Beloit,
cz29104,Salina,
cz29202,Marysville,
cz29402,Emporia,
cz29505,Polk,
cz29506,Bethany,
cz29902,Center,
cz30603,Truth or Consequences,
cz30604,Deming,
cz30902,Littlefield,
cz30906,Memphis,
cz30908,Plainview,
cz31001,Garden City,
cz31002,Ulysses,
cz31004,Liberal,
cz31005,Perryton,
cz31006,Guymon,
cz31007,Dumas,
cz31102,La Grange,
cz31103,Gonzales,
cz31202,Burnet,
cz31302,Beeville,
cz31303,Kerrville,
cz31402,Pecos,
cz31403,Fort Stockton,
cz31404,Alpine,
cz31501,Crystal City,
cz31502,Pearsall,
cz31503,Laredo,
cz32202,Nacogdoches,
cz32302,Brady,
cz32303,Junction,
cz32304,Uvalde,
cz32305,Del Rio,
cz32306,Eagle Pass,
cz32401,Big Spring,
cz32402,Sweetwater,
cz32403,Snyder,
cz32502,Childress,
cz32602,Graham,
cz32604,Vernon,
cz32701,Brownwood,
cz32702,Stephenville,
cz32802,Corsicana,
cz34204,Lewistown,
cz34301,Cody,
cz34305,Miles City,
cz34401,Dillon,
cz34502,Libby,
cz34702,Kapaa,
cz34703,Kahului,
cz34801,Las Vegas,
cz34803,Tucumcari,
cz34804,Clayton,
cz35202,Gunnison,
cz35600,Hilo,
cz35903,Moab,
cz36302,Salmon,
cz36401,Steamboat Springs,
cz36403,Soda Springs,
cz36502,Burns,
cz38402,Pullman,
cz39205,John Day,
cz20402,Nantucket,
cz21202,Redwood Falls,
cz26305,Rugby,
cz26404,Lemmon,
cz27002,Ord,
cz27902,York,
cz28604,Colby,
cz28607,McCook,
cz29001,Pratt,
cz29102,Superior,
cz32503,Haskell,
cz33603,Frederick,
cz34302,Worland,
cz34602,Rawlins,
cz36503,Lakeview,
cz37602,Winnemucca,
cz39301,Friday Harbor,
cz27010,Miller,
cz31003,Scott City,
cz27603,Southwest Jackson UT,
cz26402,Baker,
cz31304,Mason,
cz26003,West Cook UT,
cz34104,Bristol Bay,
cz29002,Coldwater,
cz30907,Matador,
cz26204,Steele,
cz26403,Bowman,
cz27012,Gettysburg,
cz39204,Condon,
cz37902,Reno,
cz30905,Wellington,
cz26401,Ekalaka,
cz34309,Harlowton,
cz26203,Linton,
cz28602,Norton,
cz28606,Wano,
cz26302,Carrington,
cz28402,Limon,
cz27003,Ainsworth,
cz28703,Granby,
cz34501,Bonners Ferry,
cz26804,Cooperstown,
cz29008,Center,
cz34604,Lusk,
cz34306,Jordan,
cz26202,East Grant UT,
cz3201,Jena,
cz29007,Township 11,
cz28504,Burlington,
cz35803,McCall,
cz28601,Oberlin,
cz26405,Scobey,
cz32603,Seymour,
cz39202,Enterprise,
cz36303,Jackson,
cz26407,Plentywood,
cz35905,Loa,
cz27604,Murdo,
cz28501,Springfield,
cz37603,Portola,
cz28303,Oshkosh,
cz30702,Santa Rosa,
cz30605,Van Horn,
