cz,Name,Household_Income_at_Age_35_rB_gM_p25
cz602,Galax,20198
cz13600,South Bend,20190
cz2700,Gulfport,20188
cz10502,Starkville,20178
cz3003,Jackson,20163
cz10000,Panama City,20159
cz6301,McMinnville,20153
cz1900,Jacksonville,20151
cz6000,Huntsville,20150
cz29204,Topeka,20143
cz35300,Farmington,20110
cz36301,Pocatello,20110
cz16300,Pittsburgh,20108
cz37200,Fresno,20105
cz3902,Lake Providence,20103
cz9600,LaGrange,20098
cz10302,Dothan,20082
cz8800,Savannah,20080
cz4701,Greenwood,20075
cz8702,Statesboro,20071
cz30200,Muskogee,19997
cz33100,Dallas,19997
cz10900,Pensacola,19978
cz2400,Richmond,19973
cz13102,Madison,19960
cz9701,Columbus,19933
cz5800,Dickson,19911
cz2300,Lynchburg,19899
cz23801,Davenport,19897
cz30903,Amarillo,19884
cz29403,Bartlesville,19881
cz31103,Gonzales,19846
cz3901,Monroe,19841
cz19800,Wilmington,19827
cz37400,Sacramento,19821
cz1203,Asheville,19819
cz11101,Montgomery,19794
cz1701,Raleigh,19779
cz25602,Harrisburg,19767
cz9702,Americus,19753
cz8201,Barnwell,19730
cz8900,Macon,19724
cz13101,Louisville,19717
cz5600,Nashville,19715
cz14500,Lafayette,19714
cz4702,Clarksdale,19679
cz32801,Waco,19648
cz33902,Sherman,19645
cz16500,Erie,19635
cz27402,Fort Dodge,19626
cz12402,Grayling charter,19623
cz3002,Yazoo City,19603
cz23100,Madison,19590
cz9100,Atlanta,19587
cz28202,Omaha,19586
cz1600,Wilson,19585
cz1400,Fayetteville,19566
cz7400,Orlando,19559
cz29301,Wichita,19525
cz4302,Searcy,19496
cz36404,Rock Springs,19437
cz12903,Danville,19430
cz4001,Magnolia,19426
cz14600,Bloomington,19421
cz8601,Waycross,19413
cz1702,Henderson,19402
cz4200,Little Rock,19401
cz6401,Chattanooga,19387
cz14100,Fort Wayne,19374
cz1100,Hickory,19338
cz16600,Roanoke,19301
cz4901,Jackson,19299
cz6600,Rome,19297
cz31503,Laredo,19283
cz13900,Center,19251
cz9301,Winder,19250
cz37901,Las Vegas,19225
cz25800,Blytheville,19186
cz30100,Fort Smith,19178
cz12600,Wayne,19108
cz500,Greensboro,19093
cz27801,Columbus-Norfolk,19046
cz24702,Mexico,19037
cz15900,Columbus,19017
cz9900,Tallahassee,19009
cz18000,Buffalo,19002
cz5300,West Memphis,18980
cz8502,Cordele,18957
cz14200,Indianapolis,18945
cz10200,Albany,18942
cz15000,Canton,18941
cz5500,Columbia,18937
cz800,Gastonia,18904
cz19200,Harrisburg,18902
cz100,Johnson City,18897
cz7600,Jacksonville,18872
cz13700,Concord,18865
cz11700,Lansing,18856
cz7700,Lake City,18844
cz1500,Wilmington,18835
cz24300,Chicago,18804
cz25601,Carbondale,18794
cz900,Charlotte,18791
cz7800,Ocala,18760
cz5100,Corinth,18732
cz401,Winston-Salem,18668
cz12501,Dayton,18658
cz26101,Moberly,18625
cz13400,Lima,18617
cz9002,Milledgeville,18612
cz9200,Griffin,18611
cz14000,Muncie,18598
cz23500,Decatur,18578
cz16901,Charleston,18576
cz11600,Detroit,18566
cz24701,St. Louis,18533
cz4800,Greenville,18531
cz7900,Gainesville,18518
cz8503,Valdosta,18509
cz10102,Thomasville,18495
cz15100,Lorain,18493
cz13501,Toledo,18491
cz7300,Palm Bay,18490
cz24900,Edwardsville,18467
cz25500,Centralia,18411
cz6800,Lakeland,18398
cz17700,Syracuse,18373
cz17000,Pikeville,18361
cz24200,Bourbonnais,18319
cz1204,Andrews,18242
cz601,North Wilkesboro,18194
cz23900,Peoria,18163
cz302,Knoxville,18155
cz4902,Dyersburg,18119
cz6900,Sarasota,18101
cz7500,Deltona,18068
cz16400,Youngstown,18055
cz4101,Crossett,18025
cz23802,Clinton,17997
cz25105,Batesville,17866
cz24000,Kenosha,17840
cz12001,Big Rapids,17773
cz12100,Kalamazoo,17741
cz11900,Saginaw,17740
cz12701,Cincinnati,17719
cz24100,Milwaukee,17690
cz12200,Grand Rapids,17669
cz15200,Cleveland,17637
cz6700,Tampa,17604
cz5202,Memphis,17564
cz30906,Memphis,17464
cz25701,Cape Girardeau,17315
cz24802,Springfield,16876
cz24400,Rockford,16512
cz23302,Douglas,16491
cz16000,Mansfield,16489
cz6302,Cookeville,16292
cz36800,Medford,15961
cz32302,Brady,15951
cz11203,Big Stone Gap,15799
cz29602,Eldon,15595
cz4502,Hazard,15549
