cz,Name,Household_Income_at_Age_35_rB_gF_p25
cz31800,College Station,23992
cz9800,Auburn,23988
cz13101,Louisville,23984
cz9400,Gainesville,23978
cz4103,El Dorado,23974
cz24900,Edwardsville,23959
cz37901,Las Vegas,23958
cz32801,Waco,23957
cz3003,Jackson,23948
cz7600,Jacksonville,23940
cz11203,Big Stone Gap,23930
cz13103,Bardstown,23916
cz1400,Fayetteville,23878
cz29601,Columbia,23860
cz1600,Wilson,23835
cz900,Charlotte,23826
cz19200,Harrisburg,23808
cz29301,Wichita,23802
cz12100,Kalamazoo,23801
cz8300,Greenville,23796
cz8800,Savannah,23778
cz4200,Little Rock,23775
cz5401,Bowling Green,23761
cz39203,Bend,23733
cz34001,Hot Springs,23722
cz17300,Staunton,23717
cz6700,Tampa,23705
cz23500,Decatur,23702
cz33902,Sherman,23702
cz17100,Huntington,23674
cz31004,Liberal,23673
cz38501,Moses Lake,23673
cz7800,Ocala,23670
cz9701,Columbus,23670
cz15200,Cleveland,23661
cz9500,Talladega,23610
cz4002,Shreveport,23603
cz36700,Eureka,23603
cz12701,Cincinnati,23546
cz32201,Huntsville,23503
cz16000,Mansfield,23501
cz12502,Washington Court House,23493
cz401,Winston-Salem,23488
cz12501,Dayton,23473
cz2700,Gulfport,23436
cz6402,Crossville,23423
cz6100,Gadsden,23419
cz1002,Morganton,23414
cz3203,Vicksburg,23399
cz25105,Batesville,23386
cz100,Johnson City,23384
cz500,Greensboro,23366
cz4901,Jackson,23346
cz32202,Nacogdoches,23314
cz11102,Troy,23294
cz23802,Clinton,23286
cz2100,Washington,23274
cz13600,South Bend,23269
cz24000,Kenosha,23252
cz27101,Willmar,23216
cz10400,Meridian,23215
cz22500,Oshkosh,23209
cz1302,Florence,23190
cz6800,Lakeland,23160
cz29700,Springfield,23150
cz9900,Tallahassee,23136
cz10102,Thomasville,23136
cz13501,Toledo,23128
cz10801,Tuscaloosa,23120
cz8900,Macon,23118
cz2900,Hattiesburg,23113
cz13102,Madison,23097
cz15000,Canton,23093
cz700,Spartanburg,23088
cz1500,Wilmington,23084
cz6000,Huntsville,23077
cz5201,New Albany,23052
cz10302,Dothan,23042
cz22300,Ottumwa,23037
cz10802,Demopolis,23031
cz13700,Concord,23006
cz11001,Mobile,23004
cz23900,Peoria,22970
cz33500,Texarkana,22924
cz6401,Chattanooga,22902
cz6301,McMinnville,22883
cz10101,Bainbridge,22883
