cz,Name,Household_Income_at_Age_35_rW_gF_p25
cz38501,Moses Lake,38301
cz33901,Ada,38275
cz20800,Springfield,38272
cz18900,Williamsport,38261
cz31202,Burnet,38255
cz29104,Salina,38240
cz32201,Huntsville,38218
cz3700,Lake Charles,38195
cz35001,Phoenix,38182
cz30601,El Paso,38148
cz3300,New Orleans,38116
cz35600,Hilo,38075
cz3002,Yazoo City,38052
cz3003,Jackson,38047
cz24701,St. Louis,37995
cz11401,Marquette,37968
cz38601,Spokane,37932
cz26103,Brookfield,37916
cz32801,Waco,37912
cz30401,Stillwater,37886
cz18202,St. Marys,37873
cz13103,Bardstown,37853
cz39100,Kennewick,37851
cz29403,Bartlesville,37832
cz23400,Bloomington,37824
cz32306,Eagle Pass,37782
cz3902,Lake Providence,37780
cz36501,Klamath Falls,37742
cz32402,Sweetwater,37724
cz33700,Ardmore,37711
cz38502,Wenatchee,37711
cz29303,Winfield,37698
cz39000,Yakima,37685
cz29601,Columbia,37638
cz14900,Gary,37629
cz35002,Safford,37603
cz35802,Ontario,37587
cz25500,Centralia,37577
cz28401,Colorado Springs,37567
cz30602,Alamogordo,37564
cz29005,Hutchinson,37528
cz25000,Quincy,37506
cz11402,Marinette,37483
cz11303,Colonial Beach,37474
cz20600,Manchester,37453
cz11302,Baltimore,37428
cz10501,Columbus,37347
cz39201,La Grande,37329
cz33803,Oklahoma City,37302
cz37200,Fresno,37297
cz20200,Burlington,37283
cz34901,Albuquerque,37268
cz3901,Monroe,37259
cz2400,Richmond,37232
cz15600,Wheeling,37229
cz3600,Alexandria,37212
cz4800,Greenville,37190
cz37100,Bakersfield,37181
cz2100,Washington,37174
cz1701,Raleigh,37173
cz23500,Decatur,37164
cz23801,Davenport,37129
cz26004,International Falls,37126
cz39203,Bend,37101
cz11301,Fredericksburg,37085
cz7100,Port St. Lucie,37069
cz32701,Brownwood,37031
cz37000,Modesto,37028
cz2900,Hattiesburg,37024
cz30402,Tulsa,36990
cz32502,Childress,36965
cz26107,Kirksville,36955
cz2800,Laurel,36951
cz33601,Lawton,36932
cz30300,Fayetteville,36926
cz4002,Shreveport,36922
cz35801,Boise City,36921
cz38802,The Dalles,36917
cz29502,Kansas City,36905
cz35402,Cortez,36896
cz10102,Thomasville,36841
cz20302,Claremont,36839
cz25103,Harrison,36837
cz33200,Paris,36837
cz18300,Watertown,36836
cz16902,Spencer,36818
cz17800,Oneonta,36786
cz2500,Newport News,36704
cz19902,Easton,36677
cz24400,Rockford,36613
cz36600,Redding,36578
cz16703,Buckhannon,36551
cz11102,Troy,36537
cz38801,Portland,36504
cz2000,Virginia Beach,36474
cz17600,Charlottesville,36457
cz17700,Syracuse,36455
cz17200,Harrisonburg,36452
cz33603,Frederick,36436
cz9100,Atlanta,36403
cz18400,Plattsburgh,36401
cz15200,Cleveland,36394
cz28502,Pueblo,36384
cz23900,Peoria,36268
cz23301,Charleston,36267
cz29301,Wichita,36221
cz24801,Jacksonville,36202
cz24000,Kenosha,36183
cz38100,Yuma,36162
cz31600,Brownsville,36141
cz10801,Tuscaloosa,36116
cz18201,Olean,36092
cz30604,Deming,36090
cz30403,Okmulgee,36082
cz28703,Granby,36081
cz36800,Medford,36065
cz16702,Morgantown,36057
cz25104,Heber Springs,36048
cz20003,Presque Isle,36016
cz13502,Defiance,35998
cz34108,Kodiak,35975
cz25601,Carbondale,35960
cz29401,Ottawa,35959
cz37300,Chico,35952
cz23700,Galesburg,35927
cz14100,Fort Wayne,35908
cz1600,Wilson,35904
cz2600,Roanoke Rapids,35900
cz26101,Moberly,35891
cz13700,Concord,35890
cz33902,Sherman,35882
cz24702,Mexico,35825
cz35100,Tucson,35819
cz24900,Edwardsville,35776
cz14802,Vincennes,35774
cz18100,Elmira,35765
cz16701,Elkins,35755
cz4103,El Dorado,35747
cz11900,Saginaw,35725
cz11201,Bluefield,35711
cz37604,Reno,35708
cz34602,Rawlins,35697
cz7200,Cape Coral,35689
cz12302,Petoskey,35680
cz8202,Charleston,35676
cz4001,Magnolia,35660
cz34110,Sitka,35643
cz34115,Fairbanks,35616
cz36700,Eureka,35589
cz34111,Ketchikan,35580
cz11600,Detroit,35562
cz20700,Keene,35555
cz33500,Texarkana,35554
cz16500,Erie,35544
cz12800,Washington,35517
cz13300,Findlay,35512
cz16400,Youngstown,35510
cz17501,Cumberland,35509
cz38901,Eugene,35498
cz6900,Sarasota,35493
cz2200,South Boston,35475
cz29504,Sedalia,35471
cz4302,Searcy,35461
cz25402,Murray,35454
cz14700,Evansville,35442
cz10302,Dothan,35405
cz34102,Anchorage,35397
cz20301,Berlin,35368
cz34803,Tucumcari,35358
cz17900,Union,35342
cz13200,Owensboro,35331
cz32900,Killeen,35330
cz15000,Canton,35323
cz20902,Pittsfield,35302
cz38700,Longview,35298
cz14500,Lafayette,35292
cz12200,Grand Rapids,35291
cz39303,Port Angeles,35288
cz30702,Santa Rosa,35271
cz2300,Lynchburg,35258
cz9900,Tallahassee,35242
cz5202,Memphis,35208
cz3203,Vicksburg,35205
cz17502,Winchester,35179
cz5402,Glasgow,35160
cz4101,Crossett,35156
cz7400,Orlando,35150
cz29800,Aurora,35135
cz20100,Portland,35134
cz37901,Las Vegas,35110
cz19901,Dover,35092
cz8402,Washington,35091
cz36502,Burns,35087
cz16801,Beckley,35067
cz10301,Eufaula,35050
cz8800,Savannah,35045
cz8000,Sumter,34982
cz12301,Traverse City,34972
cz25101,Mountain Home,34936
cz4301,Stuttgart,34932
cz29901,Joplin,34912
cz29602,Eldon,34901
cz5300,West Memphis,34898
cz11403,Sault Ste. Marie,34898
cz4601,Campbellsville,34884
cz9301,Winder,34880
cz12401,Alpena,34867
cz11202,Welch,34865
cz13501,Toledo,34859
cz11101,Montgomery,34848
cz26104,Trenton,34847
cz34002,Idabel,34821
cz1900,Jacksonville,34820
cz16802,Summersville,34812
cz11700,Lansing,34802
cz10400,Meridian,34766
cz10700,Birmingham,34765
cz29902,Center,34758
cz11001,Mobile,34724
cz24802,Springfield,34672
cz13800,Wayne,34647
cz26102,Marshall,34634
cz7900,Gainesville,34630
cz4701,Greenwood,34564
cz25102,West Plains,34552
cz7300,Palm Bay,34541
cz25602,Harrisburg,34533
cz18500,Amsterdam,34490
cz8201,Barnwell,34455
cz25105,Batesville,34451
cz37602,Winnemucca,34425
cz17400,Hagerstown,34421
cz12002,Ludington,34420
