tract,Name,Household_Income_at_Age_35_rH_gM_p25
34003059200,"Westwood, NJ",60580
18127051007,"Hebron, IN",60544
36061000800,"Lower Manhattan, New York, NY",60533
6059062638,"Aliso Viejo, CA",60505
48041001302,"Carter's Grove, College Station, TX",60459
24033807407,"Beltsville, MD",60453
17031803013,"Buffalo Grove, IL",60434
17031820606,"Willow Springs, IL",60420
34017011500,"Constable Hook, Bayonne, NJ",60414
22051021900,"Metairie, LA",60412
6037651302,"Riviera, Torrance, CA",60399
17031828202,"Lansing, IL",60384
12086008205,"Palmetto Bay, FL",60383
6037106642,"Granada Hills, Los Angeles, CA",60371
49035111903,"Millcreek, UT",60259
17043841205,"Carol Stream, IL",60232
36119012802,"Bedford Hills, NY",60211
6059099240,"Huntington Beach, CA",60202
24031702900,"Silver Spring, MD",60199
6059062610,"Irvine Business Complex, Irvine, CA",60197
34013014300,"Belleville, NJ",60170
36047016700,"Kings County, NY",60167
40153953500,"Woodward, OK",60160
51059430400,"Springfield, VA",60134
6081603700,"San Bruno, CA",60093
6059042327,"Laguna Hills, CA",60088
36071014101,"Monroe, NY",60087
6065042217,"Mission Grove, Riverside, CA",59992
36081031700,"Queens County, NY",59977
48401950100,"Tatum, TX",59926
40027201607,"Country Place, Oklahoma City, OK",59880
56013940500,"Riverton, WY",59774
6037106645,"Granada Hills, Los Angeles, CA",59768
51179010210,"Stafford, VA",59767
34005702500,"Mount Holly, NJ",59765
48137950300,"Rocksprings, TX",59735
51179010214,"Stafford, VA",59719
51059432600,"Springfield, VA",59715
4013422506,"Park Village, Gilbert, AZ",59705
25027709502,"Leominster, MA",59677
34003056200,"Waldwick, NJ",59610
51810040404,"Northwest, Virginia Beach, VA",59597
6111007402,"Thousand Oaks, CA",59567
6059021815,"Yorba Linda, CA",59542
8059009828,"Kings Mill, Broomfield, CO",59472
34003038300,"North Arlington, NJ",59423
48495950300,"Kermit, TX",59399
12081002003,"Bradenton, FL",59300
6065043252,"Temecula, CA",59297
48329010108,"Saddle Club South, Midland, TX",59293
6001402200,"Prescott, Oakland, CA",59265
34023000403,"Piscataway Township, NJ",59259
48367140704,"Aledo, TX",59251
36087011101,"Valley Cottage, NY",59240
35001003721,"Desert Mountain At High Desert, Albuquerque, NM",59225
2020000802,"Russian Jack Park, Anchorage, AK",59223
36059410200,"Malverne, NY",59212
48121021612,"North Central Carrollton, Carrollton, TX",59175
48113013721,"Southwest Carrollton, Carrollton, TX",59169
36059412100,"East Rockaway, NY",59167
6037275302,"Marina del Rey, CA",59158
53033031907,"Renton, WA",59144
34017010400,"Bayonne, NJ",59090
36081130100,"Queens County, NY",59017
29047020602,"Kansas City, MO",58984
51059480503,"Herndon, VA",58940
48245011201,"Beaumont, TX",58930
34013013500,"Nutley, NJ",58908
10003013613,"Wilmington, DE",58883
51510200303,"Landmark, Alexandria, VA",58831
6037236000,"Baldwin Hills, Los Angeles, CA",58779
32003004917,"Las Vegas, NV",58768
34003038200,"North Arlington, NJ",58767
6013345108,"San Ramon, CA",58714
47125101002,"Clarksville, TN",58687
4013116719,"Ahwatukee Foothills Village, Phoenix, AZ",58679
17031805902,"Niles, IL",58668
17043846510,"Aurora, IL",58658
34023007704,"Old Bridge, Old Bridge Township, NJ",58634
6001428600,"West Alameda, Alameda, CA",58629
6001450605,"Pleasanton, CA",58629
24033807405,"Beltsville, MD",58625
29047020901,"Kansas City, MO",58617
22051027811,"Harvey, LA",58560
6017031406,"Pollock Pines, CA",58511
36059405302,"Franklin Square, NY",58459
6001450744,"Pleasanton, CA",58397
6037216100,"Central LA, Los Angeles, CA",58391
36071014202,"Monroe, NY",58319
6083002913,"Goleta, CA",58295
51059491401,"Centreville, VA",58274
36081086400,"Queens County, NY",58265
34035053105,"Somerset, Franklin Township, NJ",58240
48439114102,"Lake Country, Fort Worth, TX",58232
34003004001,"Bogota, NJ",58219
48127950400,"Asherton, TX",58217
53071920100,"Walla Walla, WA",58173
53061051000,"Mountlake Terrace, WA",58161
34023007905,"Parlin, Old Bridge Township, NJ",58148
6037301400,"El Miradero, Glendale, CA",58142
6001406800,"Dimond, Oakland, CA",58108
34005702804,"Willingboro, NJ",58087
36081049302,"Queens County, NY",58060
24031703202,"Rockville, MD",58042
6059032002,"Mission Viejo, CA",58040
8013013004,"Louisville, CO",58033
9009154700,"West Haven, CT",58019
51107611602,"Sterling, VA",58011
55133202901,"Waukesha, WI",57995
12011110332,"Pembroke Pines, FL",57948
48201552602,"Cypress Forest, Houston, TX",57894
48201341700,"Harris County, TX",57887
48439113210,"North Richland Hills, TX",57880
15003006500,"Kalihi Valley, Honolulu, HI",57873
36047012600,"Kings County, NY",57868
6041124200,"Belvedere Tiburon, Tiburon, CA",57867
53029970602,"Oak Harbor, WA",57864
36103158403,"Middle Island, NY",57832
17031570200,"Archer Heights, Chicago, IL",57792
34003056100,"Waldwick, NJ",57757
51059415500,"Alexandria, VA",57742
17161021200,"Moline, IL",57721
36103124001,"Lindenhurst, NY",57710
40031002500,"Lawton, OK",57690
6059011717,"Placentia, CA",57678
