tract,Name,Household_Income_at_Age_35_rW_gF_p25
48201340201,"Clear Lake, Houston, TX",77849
48453001706,"Twin Mesa, Austin, TX",77848
36059411902,"Lynbrook, NY",77833
6055201500,"Saint Helena, CA",77830
48121021727,"Flower Mound, TX",77827
34005702908,"Mount Laurel, NJ",77826
6037214700,"Beverly Grove, Los Angeles, CA",77811
6081601200,"Daly City, CA",77759
42091204701,"Penn Valley, PA",77759
6037701601,"Northeast, Santa Monica, CA",77724
36061010800,"Midtown, New York, NY",77679
38007963100,"Belfield, ND",77639
19061010400,"Farley, IA",77628
36079011700,"Brewster, NY",77628
29189221624,"Ballwin, MO",77623
51059491801,"Fairfax, VA",77594
36001014503,"Voorheesville, NY",77548
36103111802,"East Northport, NY",77421
9003504900,"Behind the Rocks, Hartford, CT",77381
6007000901,"Chico, CA",77374
34003042100,"Paramus, NJ",77370
25017374700,"Auburndale, Newton, MA",77364
24005400900,"Catonsville, MD",77342
36059517000,"Glen Cove, NY",77338
26125188000,"Huntington Woods, MI",77312
36059303302,"Williston Park, NY",77286
6037265420,"Westwood, Los Angeles, CA",77275
38057961800,"Hazen, ND",77265
35009000601,"Melrose, NM",77260
34013020901,"Essex Fells, NJ",77256
48453000101,"Austin, TX",77246
34021003903,"Pennington, NJ",77210
36059300300,"Great Neck, NY",77194
6067009636,"Elk Grove, CA",77181
12099007721,"Wellington, FL",77178
22089063000,"Ama, LA",77161
34023006607,"East Brunswick, NJ",77139
17043845808,"Woodridge, IL",77111
34003009200,"Haworth, NJ",77065
17031808600,"Glenview, IL",77047
6037102104,"Burbank, CA",77038
6059032044,"Coto de Caza, CA",76986
25017358400,"Lexington, MA",76975
34023001504,"Edison, NJ",76968
12101031603,"Land O Lakes, Land O' Lakes, FL",76966
34013016100,"Upper Montclair, Montclair, NJ",76948
36047027400,"Kings County, NY",76913
10005051202,"Bethany Beach, DE",76905
36119004600,"Bronxville, NY",76895
51059431002,"Springfield, VA",76884
6013346101,"Walnut Creek, CA",76880
6037670411,"Rancho Palos Verdes, CA",76867
36005033700,"Bronx County, NY",76859
25017334100,"Reading, MA",76855
24031701219,"Rockville, MD",76848
36081072300,"Queens County, NY",76819
6075033100,"Lakeshore, San Francisco, CA",76799
26125150400,"Bloomfield Township, MI",76721
36081109900,"Queens County, NY",76679
17031800700,"Wilmette, IL",76676
42029303000,"West Chester, PA",76652
4013216806,"McCormick Ranch, Scottsdale, AZ",76651
24031703212,"Silver Spring, MD",76642
6037194101,"Central LA, Los Angeles, CA",76634
36047004500,"Kings County, NY",76633
36103110101,"Lloyd Harbor, NY",76628
51041100935,"Midlothian, VA",76597
48201542500,"Williamsburg Settlement, Katy, TX",76585
6061023900,"Lincoln, CA",76569
36061006200,"Kips Bay, New York, NY",76563
6069000802,"Paicines, CA",76549
48113013500,"Northwest Dallas, Dallas, TX",76511
48085031646,"Plano, TX",76485
36047045800,"Kings County, NY",76479
26161405300,"Ann Arbor, MI",76476
19161080200,"Odebolt, IA",76452
24031704503,"Bethesda, MD",76430
55079013400,"Merrill Park, Milwaukee, WI",76420
38033962900,"Beach, ND",76417
38015011104,"Bismarck, ND",76382
36059519704,"Plainview, NY",76370
